2025-11-28 11:38:28,928 INFO Writing to output/ip_locations_0001.csv
2025-11-28 11:40:33,078 INFO Processed 215000 (skipped 0, errors 0)
2025-11-28 11:40:33,112 INFO Processed 216000 (skipped 0, errors 0)
2025-11-28 11:40:33,146 INFO Processed 217000 (skipped 0, errors 0)
2025-11-28 11:40:33,180 INFO Processed 218000 (skipped 0, errors 0)
2025-11-28 11:40:33,213 INFO Processed 219000 (skipped 0, errors 0)
2025-11-28 11:40:33,248 INFO Processed 220000 (skipped 0, errors 0)
2025-11-28 11:40:33,285 INFO Processed 221000 (skipped 0, errors 0)
2025-11-28 11:40:33,320 INFO Processed 222000 (skipped 0, errors 0)
2025-11-28 11:40:33,354 INFO Processed 223000 (skipped 0, errors 0)
2025-11-28 11:40:33,391 INFO Processed 224000 (skipped 0, errors 0)
2025-11-28 11:40:33,470 INFO Processed 225000 (skipped 0, errors 0)
2025-11-28 11:40:33,508 INFO Processed 226000 (skipped 0, errors 0)
2025-11-28 11:40:33,543 INFO Processed 227000 (skipped 0, errors 0)
2025-11-28 11:40:33,578 INFO Processed 228000 (skipped 0, errors 0)
2025-11-28 11:40:33,613 INFO Processed 229000 (skipped 0, errors 0)
2025-11-28 11:40:33,647 INFO Processed 230000 (skipped 0, errors 0)
2025-11-28 11:40:33,679 INFO Processed 231000 (skipped 0, errors 0)
2025-11-28 11:40:33,712 INFO Processed 232000 (skipped 0, errors 0)
2025-11-28 11:40:33,746 INFO Processed 233000 (skipped 0, errors 0)
2025-11-28 11:40:33,781 INFO Processed 234000 (skipped 0, errors 0)
2025-11-28 11:40:33,821 INFO Processed 235000 (skipped 0, errors 0)
2025-11-28 11:40:33,854 INFO Processed 236000 (skipped 0, errors 0)
2025-11-28 11:40:33,888 INFO Processed 237000 (skipped 0, errors 0)
2025-11-28 11:40:33,922 INFO Processed 238000 (skipped 0, errors 0)
2025-11-28 11:40:33,955 INFO Processed 239000 (skipped 0, errors 0)
2025-11-28 11:40:33,990 INFO Processed 240000 (skipped 0, errors 0)
2025-11-28 11:40:34,024 INFO Processed 241000 (skipped 0, errors 0)
2025-11-28 11:40:34,060 INFO Processed 242000 (skipped 0, errors 0)
